TIME;SPEED_NO;SPEED_EO;SPEED_DO;SPEED_3D;ACC_NO;ACC_EO;ACC_DO;X_O;Y_O;Z_O;ALTITUDE;LONGITUDE_RAD;LONGITUDE_DEG;LATITUDE;LATITUDE_DEG;E1_XO;E2_XO;E3_XO
64,74;-2,334964853;10,29058916;1,717636165;10,69105047;0,016365659;-0,008651377;-0,004392112;-21,99367767;68,50034917;11,93063061;3186,797724;0,20349667;11,65950036;0,821287345;47,05629861;-0,318500478;-0,944486863;0,080635049
64,76;-2,265995791;10,3094729;1,665288224;10,68611965;0,016169435;-0,008688124;-0,004438697;-22,04031756;68,70682133;11,96281051;3186,765541;0,203496718;11,65950308;0,821287337;47,05629819;-0,319067715;-0,944030025;0,083684553
64,78;-2,294543782;10,30148519;1,62043614;10,67760935;0,016373359;-0,008640773;-0,004414982;-22,09051438;68,91208627;11,99498933;3186,73336;0,203496765;11,65950579;0,821287329;47,05629774;-0,316162041;-0,944129579;0,093063969
64,8;-2,335147943;10,33780478;1,578264454;10,71513146;0,016409704;-0,008728061;-0,004378918;-22,13120775;69,07562215;12,02098174;3186,707366;0,203496803;11,65950794;0,821287323;47,05629737;-0,314565985;-0,94413926;0,098230847
64,82;-2,377448614;10,34428773;1,527288306;10,72329987;0,016418252;-0,008768041;-0,004425258;-22,17147371;69,23944125;12,04712775;3186,681218;0,20349684;11,6595101;0,821287317;47,05629701;-0,31332896;-0,943993823;0,103443831
64,84;-2,421088181;10,32528194;1,49809562;10,71062116;0,016616956;-0,008671333;-0,004343733;-22,21139753;69,40390056;12,07330097;3186,655043;0,203496878;11,65951227;0,82128731;47,05629665;-0,312382404;-0,943640625;0,109359978
64,86;-2,429192102;10,30553671;1,484499709;10,69152938;0,016629899;-0,008740954;-0,004285293;-22,25143139;69,56843207;12,09953496;3186,628807;0,203496916;11,65951444;0,821287304;47,05629629;-0,310615126;-0,94344338;0,115900098
64,88;-2,466299803;10,33095552;1,497266259;10,72628001;0,016434517;-0,00886325;-0,004322249;-22,29355103;69,73633706;12,12569591;3186,602644;0,203496955;11,65951665;0,821287298;47,05629592;-0,305324787;-0,944457319;0,121561293
64,9;-2,49236318;10,36143705;1,527600258;10,76590983;0,016012906;-0,009015392;-0,004394384;-22,34570434;69,94535541;12,15765297;3186,570684;0,203497003;11,65951941;0,821287289;47,05629545;-0,299514456;-0,945106895;0,130629429
64,92;-2,541302518;10,37514606;1,567235587;10,79620774;0,016216788;-0,009117489;-0,004382156;-22,39804082;70,1547857;12,18979972;3186,538535;0,203497051;11,65952217;0,821287281;47,05629498;-0,295591345;-0,945272143;0,138153295
64,94;-2,596768974;10,40711659;1,615786781;10,84721401;0,016046496;-0,009261306;-0,004404772;-22,45087295;70,36375788;12,22214398;3186,506188;0,203497099;11,65952492;0,821287273;47,0562945;-0,294940837;-0,945234368;0,139792315
64,96;-2,650931564;10,37222226;1,662088876;10,83388075;0,01566899;-0,00941248;-0,004484868;-22,50646878;70,56759368;12,25467184;3186,473658;0,203497146;11,65952761;0,821287264;47,056294;-0,29539461;-0,944395269;0,14442853
64,98;-2,68274369;10,3670222;1,688668635;10,84084244;0,015146364;-0,009588007;-0,004518758;-22,56159831;70,77155356;12,2873764;3186,440951;0,203497193;11,65953029;0,821287256;47,05629351;-0,296401015;-0,943914856;0,145503206
65;-2,689027057;10,35162364;1,676391002;10,82576858;0,0146545;-0,009757784;-0,004523689;-22,61675043;70,97607265;12,32064573;3186,407679;0,20349724;11,65953299;0,821287247;47,05629301;-0,297291757;-0,943093628;0,148969865
65,02;-2,671461328;10,31102146;1,631935133;10,77576362;0,014488648;-0,010372705;-0,004611932;-22,67191638;71,18087654;12,35444751;3186,373875;0,203497287;11,65953569;0,821287238;47,05629252;-0,298046582;-0,941633194;0,156509307
